title,price
Large Metal Garden Bed – Grey,$79.99
Large Metal Garden Bed – Charcoal,$79.99
4-tier Greenhouse,$29.99
Large Drop-over Greenhouse,$39.99
Seed and Cutting Greenhouse,$8.99
Metal Planter Assortment,$39.99
Whiskey Barrel Planter,$19.99
Assorted Mixed Fern Planters 155mm,$9.99
Freckle Face Fern Planters 155mm,$9.99
Assorted Dwarf Citrus,$29.99
Coiled Garden Hose Set 15m,$14.99
Planting Stake Sets,$9.99
Aluminium Garden Hand Tools,$5.99
Garden Pruning Shears,$5.99
Assorted Garden Gloves,$2.99
Memory Foam Garden Kneeling Pad,$16.99
Assorted Packet Seeds,$1.29
Seed Raising Pellets 36pk,$9.99
All Purpose Fertiliser 3kg,$9.99
ActivGrow Garden Soil 25L,$4.99
Organic Sugar Cane Mulch,$11.99
Stand-Up Garden Garbage Bags 3pk,$2.49
Council Bin Liners 10pk,$2.49
 Solar Gutter Light 2pk,$9.99
Solar Fence Light 3pk,$9.99
Door Mat,$14.99
Irrigation Kits,$19.99
Assorted Mini Augers or Drill Accessories,$9.99
Petrol Earth Auger,$249
Overlocker,$199
Mini Sewing Machine,$29.99
Handheld Sewing Machine,$12.99
Mini Crafting Iron,$24.99
Rechargeable Lint Remover,$9.99
Scissor Set 4pc,$4.99
Licensed Fat Quarters 5pk,$9.99
Gütermann Premium Thread 10pk/20pk,$24.99
Haberdashery Assortment,99
Sewing Assortment,99
Haberdashery Assorted Mix,$4.99
Slogan Cross Stitch Kit,$6.99
Disney Cross Stitch Kit,$6.99
Adjustable Dressmaker’s Mannequin,$99.99
Allergy Sensitive Pillow Protector,$7.99
Allergy Sensitive Quilt – Queen Size,$59.99
Allergy Sensitive Mattress Protector – Queen Size,$29.99
Air Purifier,$129
Epsom Salts 3kg,$9.99
Essential Oils 50ml,$9.99
Claratyne 10pk,$8.49
Zyrtec 10pk,$8.49
Saline Nasal Spray 2 x 30ml,$7.99
